,gen,nevals,mean,max
49,49,150,79.08319192013244,87.81173587691741
50,50,150,78.86391029257732,88.99342407327508
51,51,150,80.15451167024874,88.99342407327508
52,52,150,80.70690696791883,88.99342407327508
53,53,150,78.92283883129593,88.99342407327508
54,54,150,79.66035278784146,87.59140997390337
55,55,150,80.20355307391644,87.8137913760995
56,56,150,80.41202796831331,87.8137913760995
57,57,150,81.2376706721527,87.8137913760995
58,58,150,78.51411476866362,87.99342407327508
59,59,150,78.89736835656883,89.4137913760995
60,60,150,74.64283099572957,89.4137913760995
61,61,150,75.11429601583144,89.4137913760995
62,62,150,77.07151767425782,89.4137913760995
63,63,150,78.8539856914073,89.4137913760995
64,64,150,78.12461496423477,90.26877351051687
65,65,150,79.29078092906198,90.26877351051687
66,66,150,75.08655954477877,90.26877351051687
67,67,150,76.30829701493668,90.26877351051687
68,68,150,77.73191003579227,90.26877351051687
69,69,150,77.76030367187167,90.26877351051687
70,70,150,77.0380080062932,90.26877351051687
71,71,150,75.66914952177954,90.26877351051687
72,72,150,77.93670165441569,90.26877351051687
73,73,150,77.77681015161679,90.26877351051687
74,74,150,78.2845438558788,90.26877351051687
75,75,150,79.18820888138603,90.26877351051687
76,76,150,77.33117074924688,90.26877351051687
77,77,150,76.99211590478097,90.26877351051687
78,78,150,74.97886346088347,90.26877351051687
79,79,150,75.192566592047,90.26877351051687
80,80,150,77.19834694011641,90.26877351051687
81,81,150,77.30896182090667,90.26877351051687
82,82,150,75.87226715996819,90.26877351051687
83,83,150,75.56669662435446,90.26877351051687
84,84,150,76.80582570326702,90.26877351051687
85,85,150,78.63054847537086,90.26877351051687
86,86,150,78.65179503739954,90.26877351051687
87,87,150,81.0492179267272,90.26877351051687
88,88,150,80.2536056435233,90.26877351051687
89,89,150,79.86892643784736,90.26877351051687
90,90,150,79.65039426918624,90.26877351051687
91,91,150,82.78232040850892,90.26877351051687
92,92,150,82.72747205808679,90.26877351051687
93,93,150,83.4524306203316,90.26877351051687
94,94,150,81.70507558391205,90.26877351051687
95,95,150,81.97514167225006,90.26877351051687
96,96,150,81.34525392732047,90.26877351051687
97,97,150,83.37208781946977,90.26877351051687
98,98,150,83.90785205926319,90.26877351051687
99,99,150,83.78762293783758,90.26877351051687
100,100,150,83.41229711056017,90.26877351051687
0,0,150,0.6066911806951373,65.77346333071253
1,1,150,5.660929377139715,56.77346333071253
2,2,150,12.683978619319463,56.77346333071253
3,3,150,15.365419796408014,65.73469878726229
4,4,150,18.24411955613991,65.73469878726229
5,5,150,21.820005152969596,88.35499468596399
6,6,150,26.799163847302374,66.21003982910274
7,7,150,31.658499178954443,66.21003982910274
8,8,150,32.12183226875076,66.21003982910274
9,9,150,35.32156490218414,74.77742373192864
10,10,150,37.5375196713567,74.77742373192864
11,11,150,38.984820012395915,74.75389323451844
12,12,150,44.58866103027135,74.75389323451844
13,13,150,50.4306483660383,74.85581436587435
14,14,150,49.96184967233167,87.42405089685369
15,15,150,53.297453635306475,87.42405089685369
16,16,150,54.5963273877054,87.42405089685369
17,17,150,55.729603373866944,87.42405089685369
18,18,150,58.35936073280442,87.42405089685369
19,19,150,57.72204610446501,87.42405089685369
20,20,150,54.073665654302,87.19140997390338
21,21,150,53.993223922247765,87.19140997390338
22,22,150,52.3544678617314,87.19140997390338
23,23,150,55.28715252391099,87.19342407327508
24,24,150,52.80935575472699,87.19140997390338
