,gen,nevals,mean,max
55,55,100,85.53237842805882,91.65425332628682
56,56,100,84.93608829603312,91.65425332628682
57,57,100,86.46586527729721,91.65425332628682
58,58,100,87.67764103569534,91.65425332628682
59,59,100,88.01842704503677,91.65425332628682
60,60,100,87.59120787494429,91.65425332628682
61,61,100,89.37054469835125,91.65425332628682
62,62,100,88.20842626098329,91.65425332628682
63,63,100,88.93880233998236,91.65425332628682
64,64,100,88.69368319890216,91.66506424239104
65,65,100,89.56570009221534,91.66506424239104
66,66,100,87.45968486092075,91.66506424239104
67,67,100,88.98053151828765,91.66506424239104
68,68,100,90.84075967072705,91.66506424239104
69,69,100,88.50056939939948,91.66506424239104
70,70,100,85.49319880873257,91.66506424239104
71,71,100,89.00714239898251,91.83173296930549
72,72,100,89.64577592832359,91.83173296930549
73,73,100,90.96353363439195,91.83173296930549
74,74,100,89.81659787202642,91.83173296930549
75,75,100,90.487214751567,91.83173296930549
76,76,100,89.23751455179053,91.83679627126205
77,77,100,89.96231632768014,91.83679627126205
78,78,100,88.522334127705,91.89679627126203
79,79,100,89.29348985820542,91.89679627126203
80,80,100,89.46245502029595,91.89679627126203
81,81,100,89.7676232339021,91.89679627126203
82,82,100,88.33270285103202,91.89679627126203
83,83,100,89.05876620185323,91.89679627126203
84,84,100,85.51876952044883,91.89679627126203
85,85,100,89.17662740747348,91.89679627126203
86,86,100,88.83347039409756,91.89679627126203
87,87,100,89.86657630039404,91.89679627126203
88,88,100,90.72322286891847,91.89679627126203
89,89,100,89.46266320196457,91.89679627126203
90,90,100,88.59232166429021,91.89679627126203
91,91,100,89.47975057270581,91.89679627126203
92,92,100,90.60154737884295,91.89679627126203
93,93,100,90.74027165408728,91.89679627126203
94,94,100,91.66386590599735,91.89679627126203
95,95,100,91.32193103663978,91.89679627126203
96,96,100,91.66930947193556,91.89679627126203
97,97,100,91.87944665002607,91.89679627126203
98,98,100,91.59672687870889,91.89679627126203
99,99,100,91.54750981231369,91.89679627126203
100,100,100,90.64141391747108,91.89679627126203
0,0,100,6.6203458289023684,75.1828888400368
1,1,100,14.065914874342543,75.1828888400368
2,2,100,26.462993142697936,66.27968822339258
3,3,100,40.25813627269039,74.77148899640882
4,4,100,51.887120411003934,74.77148899640882
5,5,100,57.37690759229428,75.26020708782076
6,6,100,61.658924135592585,75.26020708782076
7,7,100,64.40779791017269,74.77148899640882
8,8,100,62.50459344022279,74.77148899640882
9,9,100,63.57179216495194,75.23167900420623
10,10,100,64.75095492697339,75.23167900420623
11,11,100,60.77934409277127,75.21925648420768
12,12,100,65.26899253154308,75.21925648420768
13,13,100,67.60875425237047,75.21925648420768
14,14,100,67.23284009574427,75.50283177470679
15,15,100,69.19900160823144,75.50283177470679
16,16,100,68.80626066980992,75.50283177470679
17,17,100,68.32663625080963,84.1966017374084
18,18,100,69.30653934092032,84.1966017374084
19,19,100,70.48793613656771,84.1966017374084
20,20,100,69.57412625345252,84.1966017374084
21,21,100,71.12829347471569,84.1966017374084
22,22,100,68.822472005374,84.1966017374084
23,23,100,71.91776208856272,84.1966017374084
24,24,100,72.76126777391264,84.1966017374084
25,25,100,71.40413228355528,84.1966017374084
26,26,100,72.31715765205854,84.1966017374084
27,27,100,70.76730678656213,84.1966017374084
28,28,100,70.3081356426612,84.1966017374084
29,29,100,68.58445116195654,84.1966017374084
30,30,100,69.76852738598845,84.1966017374084
31,31,100,69.84934688275203,84.1966017374084
32,32,100,69.97440055577104,84.1966017374084
33,33,100,67.75251398910014,84.1966017374084
34,34,100,71.12464472972333,84.1966017374084
35,35,100,71.86711496825657,85.65611293289349
36,36,100,69.68687720379016,85.65611293289349
37,37,100,70.17061357853615,85.65611293289349
38,38,100,66.54407182267087,85.65611293289349
39,39,100,70.59086876060893,87.10425778641311
40,40,100,69.24213163575227,87.10425778641311
41,41,100,72.69596511485938,87.10425778641311
42,42,100,72.63426306744879,87.10425778641311
43,43,100,67.13244480425969,87.80835394814498
44,44,100,70.35765781621845,87.80835394814498
45,45,100,66.57956530436569,87.80835394814498
46,46,100,72.90389579546003,87.80835394814498
47,47,100,73.58797060296803,87.80835394814498
48,48,100,71.84112023956408,87.80835394814498
49,49,100,72.5825779008717,87.91342407327511
50,50,100,71.22339853710267,87.91342407327511
51,51,100,74.18047944568511,87.91342407327511
52,52,100,75.92379838962201,88.4038995977956
53,53,100,78.80567947428229,89.1961129328935
54,54,100,78.3665820925125,89.59011907701951
55,55,100,78.87433021127676,89.59011907701951
56,56,100,78.76587045112588,89.59011907701951
57,57,100,80.66574541536208,89.59011907701951
58,58,100,83.494175990079,89.5561129328935
59,59,100,82.9263592147932,89.72389959779561
60,60,100,83.71261165453974,90.36873816020957
61,61,100,85.25665312591372,89.8561129328935
62,62,100,84.99912964864139,89.8561129328935
63,63,100,85.0024531653391,90.0361129328935
64,64,100,84.64074391871262,90.0361129328935
65,65,100,85.1025173635681,90.0361129328935
66,66,100,86.4003418255859,90.0361129328935
67,67,100,88.4246499931608,90.0361129328935
68,68,100,88.55416050399295,90.0361129328935
69,69,100,88.86312186247771,90.0361129328935
70,70,100,88.01367484932739,90.22637245364767
71,71,100,88.51125398711099,90.10183729848228
72,72,100,88.96287302343326,90.15766574803521
73,73,100,87.93039968227355,90.28896154643434
74,74,100,85.65698285729546,90.28246192029872
75,75,100,88.45881719995862,90.28246192029872
76,76,100,88.04795191959671,90.69766574803522
77,77,100,88.8842745420111,90.69766574803522
78,78,100,89.24470474632055,90.69766574803522
79,79,100,89.61569838502433,90.69766574803522
80,80,100,89.28703962527072,90.69766574803522
81,81,100,88.1631644969076,90.69766574803522
82,82,100,89.50007521285625,90.57732261812775
83,83,100,89.49991704002892,90.57732261812775
84,84,100,89.15270646667688,90.57732261812775
85,85,100,89.82380263878682,90.64728120673466
86,86,100,89.91245360820723,90.96936197187237
87,87,100,88.61799254833235,90.96936197187237
88,88,100,89.44407537193558,91.08472159231587
89,89,100,89.13890695892836,91.08472159231587
90,90,100,89.27744713296418,91.20936197187237
91,91,100,89.5970898388866,91.20936197187237
92,92,100,88.58970119298684,91.20936197187237
93,93,100,89.66110836564074,91.20936197187237
94,94,100,88.66896043432838,91.20936197187237
95,95,100,90.13722685334683,91.20936197187237
96,96,100,89.95273451728006,91.27402398497817
97,97,100,90.56617934787415,91.27402398497817
98,98,100,89.43277813276191,91.27402398497817
99,99,100,90.22255509756462,91.41289246928257
100,100,100,91.0807748666374,91.41289246928257
0,0,100,6.460985630098329,66.63870783429057
1,1,100,14.729008167537659,66.63870783429057
2,2,100,25.31436591993837,66.63870783429057
3,3,100,34.983383325918574,66.63870783429057
4,4,100,42.94308013475507,66.63870783429057
5,5,100,51.0061694684037,75.04157530697022
